Fecha,Ubicacion,Colonia,Municipio,Address,Tipo,Google Maps URL,latitude,longitude
44533,"CEDRO 102,",EL RIEGO SUR,PUEBLA,"EL RIEGO SUR, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.092556,-98.2260829",19.092556,-98.2260829
44541,CALLE AGUSTIN ITURBIDE NTE,LA RESURRECCIÓN,PUEBLA,"LA RESURRECCIÓN, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0869018,-98.1358018",19.0869018,-98.1358018
44547,"CALLE DEL BACHILLERATO, COLONIA LA LOMA",Quimixtlán CENTRO,QUIMIXTLÁN,"Quimixtlán CENTRO, QUIMIXTLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.2537792,-97.1369256",19.2537792,-97.1369256
44547,"CARRETERA CAXHUACAN A IXTEPEC, LUGAR CONOCIDO SAN CRISTÓBAL",CAXHUACAN CENTRO,CAXHUACAN,"CAXHUACAN CENTRO, CAXHUACAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.0643395,-97.60735539999999",20.0643395,-97.6073554
44553,"BARRIO DE BARTOLO, MUNICIPIO DE Zacatlán, PUE.",SAN BARTOLO,ZACATLÁN,"SAN BARTOLO, ZACATLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.9205884,-97.96814099999999",19.9205884,-97.968141
44555,SAN LUIS POTOSI 10316 - AVENIDA PUEBLA,POPULAR CASTILLOTLA,PUEBLA,"POPULAR CASTILLOTLA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9976914,-98.2370212",18.9976914,-98.2370212
44582,ACOCOTLA S-N,LA JOYA (AGROPECUARIA TENEXTEPEC),ATLIXCO,"LA JOYA (AGROPECUARIA TENEXTEPEC), ATLIXCO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9185808,-98.4109948",18.9185808,-98.4109948
44590,AUTOPISTA PUEBLA ORIZABA A LA ALTURA DEL KILÓMETRO 219,SAN JOSÉ ESPERANZA,ESPERANZA,"SAN JOSÉ ESPERANZA, ESPERANZA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0412894,-98.20620129999999",19.0412894,-98.2062013
44594,DOMICILIO CONOCIDO,ZOQUIAPAN CENTRO,ZOQUIAPAN,"ZOQUIAPAN CENTRO, ZOQUIAPAN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.0097414,-97.5958979",20.0097414,-97.5958979
44598,CALLE ÁLVARO OBREGÓN Y ABELARDO RODRÍGUEZ,CORONEL TITO HERNÁNDEZ,VENUSTIANO CARRANZA,"CORONEL TITO HERNÁNDEZ, VENUSTIANO CARRANZA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.4550265,-97.736283",20.4550265,-97.736283
44617,"BLVR VICENTE SUAREZ:- 19.0415514,-98.1637781",AMÉRICA SUR,PUEBLA,"AMÉRICA SUR, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.0424603,-98.16697590000001",19.0424603,-98.1669759
44620,CARRETERA 150 TEHUACAN ORIZABA A LA ALTURA DE- CFE-,AEROPUERTO 2DA SECC,TEHUACÁN,"AEROPUERTO 2DA SECC, TEHUACÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.4665063,-97.40038009999999",18.4665063,-97.4003801
44622,143E PTE - 17 Y 19 SUR 1735,JARDINES DE SAN RAMÓN,PUEBLA,"JARDINES DE SAN RAMÓN, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.9719742,-98.2599285",18.9719742,-98.2599285
44633,CAMINO REAL AL BOSQUE ESQ. ALCATRAZ,SANTA LUCIA,PUEBLA,"SANTA LUCIA, PUEBLA, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.1937749,-97.3489729",20.1937749,-97.3489729
44635,MINA S-N,BARRIO SAN JUAN,ACATLÁN,"BARRIO SAN JUAN, ACATLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=18.2030483,-98.0472004",18.2030483,-98.0472004
44637,CALLE GONZÁLEZ ORTEGA,LA GUADALUPANA,ZACATLÁN,"LA GUADALUPANA, ZACATLÁN, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=19.9308538,-97.96293899999999",19.9308538,-97.962939
44644,"DOMICILIO CONOCIDO, BARRIO DE XILIAPAN",CUETZALAN DEL PROGRESO CENTRO,CUETZALAN DEL PROGRESO,"CUETZALAN DEL PROGRESO CENTRO, CUETZALAN DEL PROGRESO, Pue",HOMICIDIO,"https://www.google.com/maps/search/?api=1&query=20.0176353,-97.5233705",20.0176353,-97.5233705
